depth(cm),OC-21-01_LOI,OC-21-01_porosity,OC-21-01_dbd,OC-21-02_LOI,OC-21-02_porosity,OC-21-02_dbd,OC-21-03_LOI,OC-21-03_porosity,OC-21-03_dbd,OC-21-01_elevNAVD88,OC-21-01_mean,OC-21-01_d5,OC-21-01_d50,OC-21-01_d95,OC-21-01_percentclay,OC-21-01_percentsilt,OC-21-01_percentsand,OC-21-02_elevNAVD88,OC-21-02_mean,OC-21-02_d5,OC-21-02_d50,OC-21-02_d95,OC-21-02_percentclay,OC-21-02_percentsilt,OC-21-02_percentsand,OC-21-03_elevNAVD88,OC-21-03_mean,OC-21-03_d5,OC-21-03_d50,OC-21-03_d95,OC-21-03_percentclay,OC-21-03_percentsilt,OC-21-03_percentsand,OC-21-01_Year,OC-21-01_MAR,OC-21-01_uMAR,OC-21-01_SAR,OC-21-01_uSAR,OC-21-01_DBD,OC-21-01_uDBD,OC-21-02_Year,OC-21-02_MAR,OC-21-02_uMAR,OC-21-02_SAR,OC-21-02_uSAR,OC-21-02_DBD,OC-21-02_uDBD,OC-21-03_Year,OC-21-03_MAR,OC-21-03_uMAR,OC-21-03_SAR,OC-21-03_uSAR,OC-21-03_DBD,OC-21-03_uDBD,OC-21-01_OC-21-02MAR,OC-21-01_OC-21-02SAR,OC-21-01_OC-21-03MAR,OC-21-01_OC-21-03SAR,OC-21-02_OC-21-01MAR,OC-21-02_OC-21-01SAR,OC-21-02_OC-21-03MAR,OC-21-02_OC-21-03SAR,OC-21-03_OC-21-01MAR,OC-21-03_OC-21-01SAR,OC-21-03_OC-21-02MAR,OC-21-03_OC-21-02SAR
0.5,0.298469882,0.906738143,0.24714392,0.250195122,0.907092337,0.246205307,0.247416021,0.905170467,0.251298262,0.213,33.49296794,5,32,75,4.378686394,82.1853444,13.42597221,0.159,40.72843847,6,38,90,4.279572043,70.0229977,25.68743126,0.111,35.27865979,4,32,85,5.680568057,75.39753975,18.89188919,2021.48785,0.17756,0.00242,0.71844,0.02412,0.247,0.005,2021.48785,0.15802,0.00188,0.64184,0.02139,0.246,0.005,2021.48785,0.15258,0.00185,0.60719,0.02019,0.251,0.005,0.15802,0.64184,0.15258,0.60719,0.17756,0.71844,0.15258,0.60719,0.17756,0.71844,0.15802,0.64184
1.5,0.246604999,0.916848464,0.220351571,0.283139673,0.903797003,0.254937943,0.244816351,0.906236924,0.248472152,0.203,43.66769866,6,40,95,4.049190162,66.94661068,29.00419916,0.149,38.33219814,5,36,90,4.820964193,72.65453091,22.5145029,0.101,28.31072165,4,22,63,5.619438056,86.51134887,7.849215078,2020.10974,0.17457,0.00253,0.74682,0.02451,0.22,0.004,2020.14672,0.17029,0.00229,0.67962,0.02333,0.255,0.005,2020.19647,0.18549,0.00275,0.7465,0.02564,0.248,0.005,0.17029,0.67962,0.18549,0.7465,0.17457,0.74682,0.18549,0.7465,0.17457,0.74682,0.17029,0.67962
2.5,0.265579555,0.910811099,0.236350588,0.284561996,0.902205571,0.259155238,0.26368524,0.906487198,0.247808926,0.193,40.90247934,6,38,90,4.279144171,70.22595481,25.48490302,0.139,35.68650875,4,32,85,5.081016203,75.83516703,19.07381476,0.091,33.6392379,4,28,80,5.6,78,16.38,2018.81491,0.16827,0.00244,0.73687,0.02597,0.236,0.005,2018.53071,0.15479,0.00201,0.60218,0.02027,0.259,0.005,2018.78982,0.16659,0.00234,0.67224,0.02301,0.248,0.005,0.15479,0.60218,0.16659,0.67224,0.16827,0.73687,0.16659,0.67224,0.16827,0.73687,0.15479,0.60218
3.5,0.248747592,0.91010718,0.238215973,0.29873036,0.908124505,0.243470063,0.272035295,0.900272688,0.264277378,0.183,42.58217617,6.5,40,95,3.909609039,68.99310069,27.09729027,0.129,27.55409836,5,22,63,4.24,90.42,5.33,0.081,33.32257732,4.45,28,80,4.997501249,79.64017991,15.34232884,2017.39179,0.16241,0.00239,0.68446,0.02356,0.238,0.005,2016.82232,0.15447,0.00208,0.61463,0.02022,0.243,0.005,2017.21053,0.15376,0.00213,0.5818,0.01978,0.264,0.005,0.15447,0.61463,0.15376,0.5818,0.16241,0.68446,0.15376,0.5818,0.16241,0.68446,0.15447,0.61463
4.5,0.282537313,0.910709651,0.236619426,0.315948856,0.908926535,0.241344683,0.269611501,0.89831461,0.269466284,0.173,42.58737166,6,38,96.75,4.170417042,67.45674567,28.36283628,0.119,38.61377184,6,38,85,3.890778156,75.55511102,20.55411082,0.071,27.73473792,4,20,63,5.577211394,87.08645677,7.316341829,2015.89035,0.15295,0.00226,0.64422,0.02212,0.237,0.005,2015.28201,0.16022,0.00229,0.66096,0.02247,0.241,0.005,2015.45196,0.13963,0.00189,0.51818,0.01744,0.269,0.005,0.16022,0.66096,0.13963,0.51818,0.15295,0.64422,0.13963,0.51818,0.15295,0.64422,0.16022,0.66096
5.5,0.333020174,0.908330012,0.242925468,0.30143585,0.909964965,0.238592843,0.285580938,0.90449877,0.253078259,0.163,39.23091286,5.15,36,90,4.359128174,71.80563887,23.82523495,0.109,29.61766529,6,25,63,4.349130174,87.80243951,7.848430314,0.061,28.53195876,5,22,63,4.738104758,88.33466613,6.907237105,2014.28351,0.14463,0.00216,0.60318,0.02101,0.243,0.005,2013.79977,0.16767,0.00257,0.69871,0.02409,0.239,0.005,2013.36926,0.12398,0.00163,0.48987,0.01646,0.253,0.005,0.16767,0.69871,0.12398,0.48987,0.14463,0.60318,0.12398,0.48987,0.14463,0.60318,0.16767,0.69871
6.5,0.339557715,0.906553785,0.247632469,0.305581373,0.908431315,0.242657015,0.300019587,0.907374958,0.245456362,0.153,39.80196078,5,36,95,4.50909818,70.87582484,24.60507898,0.099,29.23759011,6,25,63,3.951185356,89.28678604,6.762028609,0.051,34.3313786,4,30,80,5.14,78.59,16.24,2012.57092,0.14874,0.00236,0.60643,0.02128,0.248,0.005,2012.42441,0.1613,0.00249,0.67034,0.02332,0.243,0.005,2011.23822,0.11644,0.00155,0.47438,0.01606,0.245,0.005,0.1613,0.67034,0.11644,0.47438,0.14874,0.60643,0.11644,0.47438,0.14874,0.60643,0.1613,0.67034
7.5,0.305157381,0.906078514,0.248891938,0.31967404,0.911141795,0.235474243,0.328634834,0.903615368,0.255419276,0.143,40.50943983,5,36,95,4.818554434,68.97930621,26.19214236,0.089,39.6610483,6,38,85,3.920784157,73.51470294,22.5545109,0.041,33.68859198,5,32,75,4.67,80.98,14.33,2010.99647,0.15101,0.00251,0.60827,0.02145,0.249,0.005,2010.80466,0.13575,0.00194,0.56786,0.01933,0.235,0.005,2009.08887,0.10536,0.00139,0.41248,0.01391,0.255,0.005,0.13575,0.56786,0.10536,0.41248,0.15101,0.60827,0.10536,0.41248,0.15101,0.60827,0.13575,0.56786
8.5,0.342575597,0.905872279,0.24943846,0.332227016,0.900983173,0.262394593,0.377331206,0.902358508,0.258749953,0.133,36.9868666,5,32,88.5,4.82,74.52,20.65,0.079,38.38715026,5.2,36,85,4.439112178,74.00519896,21.54569086,0.031,29.57742268,5,25,63,4.579084183,87.25254949,8.138372326,2009.27676,0.16897,0.00315,0.67816,0.02454,0.249,0.005,2008.89179,0.12944,0.00187,0.51997,0.01865,0.262,0.005,2006.44753,0.10678,0.0015,0.41266,0.01408,0.259,0.005,0.12944,0.51997,0.10678,0.41266,0.16897,0.67816,0.10678,0.41266,0.16897,0.67816,0.12944,0.51997
9.5,0.319862945,0.906290368,0.248330524,0.321287058,0.896660582,0.273849458,0.365157059,0.899658992,0.265903671,0.123,38.92171665,5,36,95,4.830483048,71.44714471,23.71237124,0.069,40.46814433,5,38,90,4.450890178,70.29405881,25.24504901,0.021,34.07461459,5,32,80,4.41,80.69,14.88,2008.07257,0.21609,0.00494,0.86825,0.03341,0.248,0.005,2006.97784,0.12534,0.00186,0.46748,0.01649,0.274,0.005,2004.32107,0.10141,0.00145,0.38138,0.01294,0.266,0.005,0.12534,0.46748,0.10141,0.38138,0.21609,0.86825,0.10141,0.38138,0.21609,0.86825,0.12534,0.46748
